gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000014003;3894,180152;0,710111265;0,116338548;36,96679796;1,20E-09;1,50E-08;stard8
ENSDARG00000021143;2561,883356;0,920098396;0,15058771;36,93951919;1,22E-09;1,52E-08;rtn1b
ENSDARG00000117323;123,7525747;2,540623607;0,402690155;36,93378731;1,22E-09;1,53E-08;AL929294,2
ENSDARG00000077022;206,3840571;1,247054369;0,203510717;36,89575403;1,25E-09;1,56E-08;fam131a
ENSDARG00000078675;2312,091277;-0,74489764;0,122290381;36,89614831;1,25E-09;1,56E-08;dock7
ENSDARG00000113383;6351,87548;1,591118089;0,250224;36,88222977;1,25E-09;1,57E-08;CU138548,5
ENSDARG00000060948;1745,011267;0,732749859;0,120193675;36,87361825;1,26E-09;1,57E-08;dync1i1
ENSDARG00000055078;2217,59199;1,201177667;0,195851904;36,87178827;1,26E-09;1,57E-08;chac2
ENSDARG00000078114;211,9674554;-2,337260318;0,371773172;36,85639564;1,27E-09;1,59E-08;si:ch73-237c6,1
ENSDARG00000093645;83,77736488;2,658434072;0,419520634;36,84207122;1,28E-09;1,60E-08;BX294113,2
ENSDARG00000095507;131,505885;1,61030267;0,261081797;36,81358374;1,30E-09;1,62E-08;CU986305,1
ENSDARG00000003058;3688,921128;0,84166502;0,138233941;36,80625544;1,30E-09;1,62E-08;fgfr1op
ENSDARG00000094262;149,3211189;2,085285859;0,328581577;36,79279893;1,31E-09;1,63E-08;BX544876,1
ENSDARG00000075821;1331,221982;-1,049211847;0,172001386;36,77718433;1,32E-09;1,65E-08;plxnb1a
ENSDARG00000059001;1140,112813;0,779138265;0,128076878;36,76693698;1,33E-09;1,66E-08;pim2
ENSDARG00000104669;505,8908051;1,184647125;0,193276289;36,76384494;1,33E-09;1,66E-08;slc35c1
ENSDARG00000019280;3422,465132;-0,581741562;0,095739402;36,76141943;1,34E-09;1,66E-08;lars1b
ENSDARG00000038737;4013,98029;-0,886332653;0,145621722;36,75967369;1,34E-09;1,66E-08;phf20b
ENSDARG00000087993;710,9254968;1,183340038;0,193073578;36,75608221;1,34E-09;1,66E-08;bada
ENSDARG00000098904;2114,088018;-0,660733758;0,10856998;36,73737198;1,35E-09;1,68E-08;pex1
ENSDARG00000075192;1479,600562;0,930368863;0,152230941;36,72675778;1,36E-09;1,68E-08;yme1l1a
ENSDARG00000092546;4071,578702;-0,977097509;0,160342888;36,72731906;1,36E-09;1,68E-08;pdap1a
ENSDARG00000043485;3800,200353;0,846992379;0,138866444;36,70198711;1,38E-09;1,70E-08;si:ch211-22i13,2
ENSDARG00000004830;2085,69703;-1,013816671;0,166294006;36,69430757;1,38E-09;1,71E-08;flot2a
ENSDARG00000090002;1592,255576;0,674083643;0,110957594;36,68856354;1,39E-09;1,71E-08;cln6b
