gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000055938;873,2052111;-0,208708503;0,331251101;0,422650164;0,515617617;0,847215349;tspan14
ENSDARG00000098045;39,39567204;0,398132585;0,600360227;0,422660599;0,515612434;0,847215349;CR751602,2
ENSDARG00000093997;455,3825065;0,201614085;0,30513752;0,422365365;0,515759127;0,84733124;si:dkey-9i23,15
ENSDARG00000100546;109,2287986;0,293672054;0,454334261;0,422415834;0,515734045;0,84733124;or108-2
ENSDARG00000018967;148,6044664;-0,282881087;0,432413004;0,421875857;0,516002509;0,847521459;gabbr1a
ENSDARG00000069744;202,379234;0,199471227;0,301217781;0,421983791;0,515948827;0,847521459;mos
ENSDARG00000070000;543,7422411;0,343972759;0,519627754;0,421882216;0,515999346;0,847521459;txnipb
ENSDARG00000116145;83,3246327;0,353962836;0,520425701;0,421846931;0,516016897;0,847521459;CU137645,2
ENSDARG00000113548;71,53250764;-0,369510664;0,575528861;0,421675907;0,516101982;0,847602897;si:dkeyp-82b4,4
ENSDARG00000017986;2186,247585;-0,402271331;0,643426474;0,421409493;0,516234571;0,847656449;vps13d
ENSDARG00000042452;159,5763681;-0,325453429;0,492563617;0,421126459;0,516375498;0,847656449;p2rx4b
ENSDARG00000056624;35,69712678;0,472512168;0,702169494;0,421185013;0,516346337;0,847656449;vegfd
ENSDARG00000068365;145,4536405;-0,286062987;0,43538535;0,421111182;0,516383106;0,847656449;lmx1bb
ENSDARG00000068969;428,4481373;-0,369471988;0,569441882;0,421302409;0,516287882;0,847656449;zgc:153759
ENSDARG00000087647;4555,551611;0,12337067;0,188665323;0,421443985;0,516217402;0,847656449;sept7a
ENSDARG00000099699;32,28024212;0,502516317;0,800459587;0,421325337;0,516276467;0,847656449;BX649620,1
ENSDARG00000036375;1198,413176;-0,138237211;0,215758272;0,420727262;0,516574377;0,847912129;cyfip2
ENSDARG00000061527;765,48997;0,155115515;0,239642709;0,420358944;0,516757993;0,848096909;nxt2
ENSDARG00000076328;256,5465356;-0,274841912;0,433687687;0,420394447;0,516740288;0,848096909;osbpl11
ENSDARG00000089641;164,0712;-0,244019694;0,384025747;0,420281015;0,516796857;0,848102395;ppm1lb
